Custid,Year_Birth,Dependents,Income,Rcn,Frq,Mnt,Clothes,Kitchen,SmallAppliances,HouseKeeping,Toys,NetPurchase,CatPurchase,Recomendation,DepVar,Gender_M,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Together,Marital_Status_Widow
1395,1945,0,97188.0,91,21,871.52,16,24,39,14,7,14,86,2,0,1,0,0,0,0,0,1,0,0
1400,1993,1,74062.83887289166,1,10,35.36,6,30,32,3,29,74,26,2,0,0,0,1,0,0,0,0,0,0
1401,1953,1,110445.3,95,32,1334.32,74,5,15,2,4,30,70,4,1,0,0,0,0,0,0,1,0,0
1402,1981,1,44011.8,24,10,29.12,48,0,45,3,4,69,31,4,0,0,0,1,0,0,0,1,0,0
1406,1944,0,90714.75,53,20,734.24,36,5,49,6,4,23,77,3,0,0,0,1,0,0,1,0,0,0
1410,1957,1,89388.6,34,27,1057.68,53,5,30,11,0,29,71,5,0,0,0,1,0,0,0,0,1,0
1415,1940,0,144204.9,16,43,2253.68,57,1,34,2,6,18,82,5,1,1,0,1,0,0,0,0,0,0
1416,1937,0,134811.6,16,42,2188.16,85,1,11,1,2,24,76,4,0,0,0,0,0,1,0,0,0,1
1432,1941,0,118757.1,69,31,1458.08,40,20,20,8,12,33,67,5,0,0,1,0,0,0,0,0,0,1
1440,1973,1,60224.85,46,9,71.76,52,6,25,8,9,51,49,3,0,1,0,1,0,0,0,1,0,0
1441,1945,0,99444.45,66,22,855.92,33,4,44,9,10,19,81,4,0,0,0,1,0,0,0,0,1,0
1443,1962,1,58858.8,38,11,121.68,91,1,7,1,1,39,61,3,0,0,0,0,1,0,0,0,1,0
1450,1976,1,48954.15,11,15,225.68,73,3,21,3,1,43,57,4,0,0,0,1,0,0,0,0,0,0
1451,1993,1,29435.7,63,8,34.32,29,5,32,21,13,28,72,4,0,0,0,1,0,0,0,0,0,0
1458,1945,0,101118.15,87,32,1460.16,45,2,35,16,1,21,79,5,0,0,0,0,0,0,0,1,0,0
1460,1977,1,69541.5,9,22,688.48,54,13,16,16,0,33,67,5,0,0,0,1,0,0,0,1,0,0
1461,1991,0,74062.83887289166,43,4,26.0,19,18,19,23,21,33,67,4,0,0,0,1,0,0,0,0,1,0
1467,1955,0,105969.15,10,33,1454.96,57,11,21,4,7,37,63,5,1,1,0,0,0,0,0,0,1,0
1471,1946,0,118430.55,29,42,2186.08,64,3,29,0,3,13,87,5,0,1,0,0,1,0,0,1,0,0
1472,1946,0,101065.65,79,36,1726.4,36,10,36,8,10,16,84,5,0,0,0,0,0,0,0,1,0,0
1479,1994,1,14919.45,64,11,76.96,27,22,37,12,2,33,67,4,0,0,0,0,0,0,0,0,0,0
1486,1940,0,99878.1,32,32,1525.68,60,4,27,5,4,15,85,5,0,0,0,1,0,0,0,1,0,0
1514,1970,1,43216.95,65,5,16.64,31,8,37,24,0,43,57,4,0,0,0,1,0,0,0,1,0,0
1523,1938,1,127080.45,94,31,1131.52,50,8,28,9,5,57,43,4,0,0,0,0,0,0,0,1,0,0
1526,1982,1,67764.9,49,26,684.32,54,7,26,10,4,69,31,4,0,1,0,1,0,0,0,0,1,0
1528,1958,1,80842.65,27,39,1658.8,61,8,16,6,9,40,60,4,0,1,0,1,0,0,0,1,0,0
1529,1951,1,108289.65,35,38,1796.08,54,1,23,8,14,19,81,5,0,1,0,1,0,0,0,0,0,1
1532,1946,0,114696.75,60,36,1791.92,68,8,15,1,8,15,85,5,0,0,0,1,0,0,0,1,0,0
1533,1952,1,94871.7,21,16,459.68,71,1,22,2,4,31,69,2,0,0,0,1,0,0,0,0,0,0
1536,1975,1,69434.4,26,19,410.8,62,7,29,1,1,49,51,4,0,0,0,1,0,0,0,0,1,0
1538,1954,1,102340.35,39,30,1197.04,74,3,19,2,2,39,61,5,0,1,0,0,0,1,0,0,0,0
1539,1995,0,18023.25,65,17,231.92,17,21,16,21,24,67,33,3,0,1,1,0,0,0,0,0,0,0
1545,1966,1,62102.25,33,9,57.2,31,7,28,20,14,52,48,4,0,0,0,1,0,0,0,0,0,0
1548,1996,0,39743.55,549,8,20.8,6,25,18,29,22,63,37,3,0,1,1,0,0,0,0,0,0,0
1549,1979,1,49005.6,77,11,158.08,69,0,26,2,3,41,59,2,0,0,0,1,0,0,0,0,1,0
1553,1957,1,80453.1,26,27,989.04,42,3,29,14,12,28,72,5,0,0,0,1,0,0,0,1,0,0
1555,1985,1,51741.9,56,11,65.52,41,10,41,7,1,67,33,2,0,1,0,1,0,0,0,1,0,0
1556,1958,0,94720.5,64,46,2122.64,67,2,27,2,2,34,66,5,0,0,0,0,1,0,0,1,0,0
1570,1967,1,67605.3,95,18,406.64,81,2,12,3,3,45,55,4,0,1,0,0,0,0,0,1,0,0
1582,1995,0,10500.0,24,14,72.8,5,26,21,16,32,68,32,4,0,1,0,1,0,0,0,0,0,0
1584,1937,0,141423.45,99,46,2508.48,58,3,33,0,5,8,92,4,1,0,0,1,0,0,0,0,1,0
1588,1966,1,83653.5,80,23,567.84,93,0,6,1,0,70,30,4,1,0,0,1,0,0,1,0,0,0
1589,1940,1,130711.35,90,26,1059.76,38,4,43,10,6,38,62,5,0,0,0,1,0,0,0,1,0,0
1598,1960,1,77183.4,16,21,678.08,47,8,36,2,7,31,69,2,0,0,0,1,0,0,0,0,0,0
1608,1943,0,115719.45,71,44,2185.04,46,8,32,9,5,17,83,5,1,1,0,0,0,0,0,0,1,0
1625,1980,1,53232.9,64,23,672.88,74,0,24,1,1,36,64,3,0,1,0,0,0,1,0,1,0,0
1626,1986,1,41331.15,136,8,14.56,33,12,47,8,0,62,38,4,0,1,0,1,0,0,0,0,0,0
1627,1966,1,74161.5,92,30,990.08,90,0,8,1,1,42,58,5,0,0,0,1,0,0,0,1,0,0
1640,1988,1,41610.45,32,11,43.68,30,10,53,1,7,77,23,3,0,0,0,1,0,0,0,0,1,0
1646,1947,0,104926.5,57,34,1597.44,42,3,39,7,10,21,79,5,0,0,0,1,0,0,1,0,0,0
1650,1984,1,45213.0,52,10,41.6,60,4,26,5,5,59,41,4,0,0,0,1,0,0,0,0,1,0
1652,1993,1,28052.85,323,9,13.52,19,5,55,6,15,69,31,3,0,0,0,1,0,0,0,0,0,0
1665,1995,0,23139.9,12,8,19.76,12,26,13,35,14,46,54,2,0,0,1,0,0,0,0,0,0,0
1666,1960,1,89441.1,1,25,922.48,66,3,26,1,4,26,74,2,0,1,0,0,1,0,0,1,0,0
1669,1995,1,16773.75,62,11,33.28,13,4,45,16,21,62,38,3,0,0,1,0,0,0,0,0,0,0
1671,1972,1,77201.25,65,23,563.68,60,0,37,2,1,57,43,5,0,0,0,1,0,0,0,1,0,0
1673,1952,0,94727.85,62,37,1796.08,26,32,35,3,4,21,79,4,0,1,0,0,0,0,0,1,0,0
1675,1945,0,129788.4,76,44,2318.16,27,5,59,3,6,16,84,5,0,0,0,1,0,0,0,1,0,0
1676,1961,1,77007.0,26,21,508.56,67,3,27,1,2,46,54,3,0,0,0,1,0,0,0,0,0,1
1677,1941,0,99323.7,71,26,1134.64,42,20,27,2,9,16,84,5,0,0,0,1,0,0,0,1,0,0
1678,1951,1,111660.15,98,32,1323.92,69,1,27,2,1,37,63,5,1,0,0,1,0,0,0,0,0,1
1679,1995,1,10500.0,138,5,14.56,37,7,30,24,3,23,77,2,0,0,1,0,0,0,0,0,0,0
1686,1974,1,71338.05,34,19,351.52,77,6,15,1,1,63,37,4,0,0,1,0,0,0,0,1,0,0
1691,1948,0,91084.35,74,41,1929.2,39,16,23,16,6,20,80,4,0,0,0,1,0,0,0,1,0,0
1697,1973,1,52642.8,71,9,72.8,76,2,18,2,2,43,57,4,0,1,0,0,1,0,0,1,0,0
1698,1964,0,73543.05,68,23,686.4,43,17,23,6,11,44,56,4,0,0,0,1,0,0,1,0,0,0
1700,1952,1,96584.25,23,17,503.36,46,8,37,6,4,31,69,5,0,0,0,1,0,0,0,1,0,0
1701,1970,1,72140.25,14,21,462.8,90,1,8,1,0,66,34,5,0,0,0,1,0,0,0,1,0,0
1703,1950,0,104103.3,47,40,1858.48,59,3,21,11,6,22,78,5,1,0,0,1,0,0,0,0,1,0
1716,1987,1,46309.2,71,9,58.24,15,35,34,8,8,47,53,3,0,1,1,0,0,0,0,1,0,0
1719,1962,1,62340.6,98,22,683.28,82,2,14,2,1,36,64,4,0,0,0,1,0,0,0,1,0,0
1720,1987,1,21099.75,96,10,40.56,23,6,41,1,28,60,40,3,0,0,0,1,0,0,0,0,0,0
1721,1989,1,59026.8,31,11,123.76,39,6,50,1,4,55,45,2,0,0,0,1,0,0,0,0,0,0
1724,1958,1,78878.1,15,12,231.92,55,12,30,2,1,45,55,4,0,0,0,1,0,0,0,1,0,0
1737,1968,1,86101.05,28,27,862.16,89,1,9,1,1,48,52,5,0,1,0,0,0,1,0,1,0,0
1740,1987,1,74062.83887289166,379,10,12.48,41,2,40,11,6,66,34,5,0,1,0,0,1,0,0,0,1,0
1741,1976,1,49954.8,34,5,41.6,59,2,22,12,5,27,73,4,0,0,0,0,1,0,0,1,0,0
1744,1942,1,111926.85,100,30,1192.88,80,1,17,0,2,42,58,5,0,1,0,1,0,0,0,0,1,0
1747,1990,1,30581.25,23,12,35.36,44,7,32,7,10,75,25,2,0,0,0,0,0,0,0,0,0,0
1748,1987,1,37205.7,340,10,20.8,54,1,42,0,3,66,34,4,0,0,0,1,0,0,0,1,0,0
1749,1992,1,30158.1,52,9,36.4,38,11,24,13,14,56,44,3,0,0,0,1,0,0,0,0,0,0
1753,1958,1,68761.35,68,16,313.04,86,1,12,1,1,47,53,3,0,0,0,0,1,0,0,1,0,0
1756,1992,1,10500.0,461,9,14.56,40,16,26,16,2,55,45,3,0,0,0,1,0,0,0,0,0,0
1759,1949,0,104456.1,12,40,2062.32,21,1,52,1,24,10,90,5,0,0,0,0,1,0,0,1,0,0
1761,1957,1,61173.0,73,7,68.64,80,4,12,4,1,35,65,2,0,0,0,1,0,0,0,1,0,0
1767,1981,1,56142.45,53,10,50.96,43,2,42,12,0,72,28,5,0,0,0,1,0,0,0,1,0,0
1771,1975,1,49582.05,82,12,93.6,79,2,18,0,1,52,48,4,0,0,0,0,0,0,0,1,0,0
1791,1939,0,134215.2,71,39,2059.2,30,6,42,12,10,8,92,5,0,0,1,0,0,0,0,1,0,0
1793,1968,1,72510.9,42,18,359.84,93,1,6,0,0,59,41,3,0,0,0,0,0,1,0,1,0,0
1796,1948,0,109705.05,44,25,1063.92,31,0,26,41,2,21,79,2,0,0,0,1,0,0,1,0,0,0
1798,1951,1,88072.95,22,31,1258.4,43,4,40,3,10,29,71,5,0,0,0,1,0,0,0,0,0,0
1801,1965,1,62652.45,283,6,17.68,80,3,12,3,3,53,47,2,0,0,0,1,0,0,1,0,0,0
1802,1971,1,59036.25,20,10,33.28,61,3,31,2,3,61,39,4,0,0,0,1,0,0,0,1,0,0
1805,1948,0,99298.5,39,27,1257.36,17,17,35,20,11,12,88,4,0,0,1,0,0,0,0,0,1,0
1807,1977,1,69086.85,94,23,566.8,59,3,34,2,2,58,42,2,0,0,0,1,0,0,0,1,0,0
1808,1993,1,46305.0,7,8,43.68,31,12,16,19,23,40,60,2,0,0,0,1,0,0,0,0,0,0
1809,1990,1,46170.6,40,16,192.4,27,11,46,10,5,66,34,4,0,0,0,1,0,0,0,0,1,0
1811,1956,1,95754.75,6,31,1387.36,57,6,35,1,1,20,80,5,0,0,0,0,1,0,0,0,0,0
1812,1977,1,39913.65,72,9,76.96,60,7,26,1,6,47,53,3,0,0,0,0,0,0,0,1,0,0
1818,1995,1,24936.45,20,7,37.44,24,23,7,29,17,36,64,4,0,1,1,0,0,0,0,0,0,0
1822,1967,0,69696.9,68,24,743.6,30,10,30,15,15,42,58,3,0,1,0,1,0,0,0,1,0,0
1825,1939,0,121466.1,50,49,2628.08,41,3,50,3,2,11,89,5,0,0,0,0,0,1,0,1,0,0
1834,1957,1,109177.95,61,44,1865.76,50,6,35,7,2,61,39,5,0,0,0,1,0,0,0,0,1,0
1836,1976,1,74728.5,41,25,687.44,74,1,23,1,1,51,49,4,0,1,0,0,1,0,0,0,1,0
1837,1947,1,93988.65,39,21,569.92,69,2,27,1,1,48,52,3,0,0,0,1,0,0,0,0,1,0
1841,1977,1,68289.9,66,12,187.2,55,3,35,4,3,45,55,4,0,0,0,1,0,0,0,1,0,0
1844,1972,1,70358.4,29,12,125.84,55,1,25,4,15,61,39,4,0,0,0,0,0,0,0,0,1,0
1847,1977,1,64992.9,90,14,188.24,73,1,22,3,2,57,43,5,1,0,0,1,0,0,0,0,0,0
1854,1956,1,96524.4,86,30,1252.16,56,4,37,0,3,31,69,5,0,0,0,1,0,0,0,0,0,0
1860,1964,1,93415.35,61,19,408.72,89,2,9,0,0,64,36,3,0,0,0,1,0,0,0,1,0,0
1866,1939,0,135261.0,39,38,1933.36,49,1,41,5,4,13,87,5,0,0,0,0,1,0,0,0,1,0
1867,1981,1,52118.85,20,10,50.96,74,2,23,1,0,65,35,3,0,0,0,0,0,1,0,0,0,0
1870,1993,1,30717.75,59,7,22.88,49,26,13,7,6,40,60,5,0,1,0,1,0,0,0,0,0,0
1873,1940,0,110826.45,27,31,1459.12,57,0,34,1,7,18,82,5,0,1,0,1,0,0,0,0,0,1
1876,1952,1,86554.65,56,16,401.44,42,13,26,11,8,34,66,5,0,0,0,1,0,0,0,1,0,0
1877,1945,0,104436.15,69,26,1188.72,21,3,57,7,12,15,85,5,0,0,0,0,1,0,0,0,0,0
1881,1959,1,95225.55,58,18,559.52,39,0,36,22,3,26,74,5,0,0,0,1,0,0,0,0,0,0
1886,1956,1,97503.0,53,31,1257.36,82,3,12,1,3,32,68,5,0,0,0,1,0,0,0,0,0,0
1889,1984,1,40858.65,91,11,55.12,39,6,38,6,11,62,38,3,0,0,0,0,1,0,0,1,0,0
1903,1984,1,39300.45,10,9,43.68,73,0,24,3,0,53,47,3,0,1,0,1,0,0,0,0,0,0
1904,1954,1,88037.25,63,34,1460.16,64,4,25,4,3,26,74,5,0,0,0,0,1,0,0,0,0,0
1907,1957,1,80506.65,72,24,738.4,65,2,26,2,5,43,57,4,0,0,0,1,0,0,0,1,0,0
1908,1949,0,100834.65,27,36,1732.64,50,2,33,7,8,12,88,5,0,0,0,1,0,0,0,0,1,0
1917,1968,1,69700.05,70,22,557.44,54,5,31,9,1,47,53,3,0,0,0,1,0,0,0,1,0,0
1920,1963,1,74062.83887289166,57,27,993.2,93,0,6,0,0,35,65,4,0,1,0,0,1,0,0,0,1,0
1924,1972,1,51724.05,6,10,54.08,58,4,31,2,5,53,47,2,0,0,0,1,0,0,0,1,0,0
1925,1968,1,86667.0,2,13,225.68,77,0,20,2,1,55,45,3,0,1,0,0,0,1,0,0,0,0
